no,type,Word,Sub_Type,Type2,Type3,wildcard,Comment,sort,multiword,duplicate,regex_matches,word_copy,word_en
3200,substantive,blasiertheit,zzz_none,conflictive,anti-elitism,none,never appeared term,blasiertheit,FALSE,FALSE,0,blasiertheit,blasÃ©ness
3201,,brav(e|er|en) allgemeinheit,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenallgemeinheit,TRUE,FALSE,0,brav(e|er|en) allgemeinheit,well-behaved general public
3202,,brav(e|er|en) arbeiterschaft,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenarbeiterschaft,TRUE,FALSE,0,brav(e|er|en) arbeiterschaft,well-behaved workers
3203,,brav(e|er|en) bevÃ¶lkerung,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenbevÃ¶lkerung,TRUE,FALSE,0,brav(e|er|en) bevÃ¶lkerung,well-behaved population
3204,,brav(e|er|en|em) angestellte(n|r)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemangestelltenr,TRUE,FALSE,0,brav(e|er|en|em) angestellte(n|r)?,good employee?
3205,,brav(e|er|en|em) arbeiter(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemarbeitersninnenin,TRUE,FALSE,0,brav(e|er|en|em) arbeiter(s|n|innen|in)?,good worker?
3206,,brav(e|er|en|em) arbeitnehmer(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemarbeitnehmersninnenin,TRUE,FALSE,0,brav(e|er|en|em) arbeitnehmer(s|n|innen|in)?,good employee(s)?
3207,,brav(e|er|en|em) (be|ein)wohner(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenembeeinwohnersninnenin,TRUE,FALSE,0,brav(e|er|en|em) (be|ein)wohner(s|n|innen|in)?,well-behaved residents?
3208,,brav(e|er|en|em) berufstÃ¤tige(n|r)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemberufstÃ¤tigenr,TRUE,FALSE,0,brav(e|er|en|em) berufstÃ¤tige(n|r)?,good working person?
3209,,brav(e|er|en|em) beschÃ¤ftigte(n|r)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenembeschÃ¤ftigtenr,TRUE,FALSE,0,brav(e|er|en|em) beschÃ¤ftigte(n|r)?,well-behaved employee(s)?
3210,,brav(e|er|en|em) bÃ¼ezer(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenembÃ¼ezersninnenin,TRUE,FALSE,0,brav(e|er|en|em) bÃ¼ezer(s|n|innen|in)?,good (e|he|en|em) bÃ¼ezer(s|n|inner|in)?
3211,,brav(e|er|en|em) eidgen(o|Ã¶)ss(e|en|in|innen),ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemeidgenoÃ¶sseenininnen,TRUE,FALSE,0,brav(e|er|en|em) eidgen(o|Ã¶)ss(e|en|in|innen),good(e|er|en|em) eidgen(o|Ã¶)ss(e|en|in|innen)
3212,,brav(e|er|en|em) einheimische(n|r)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemeinheimischenr,TRUE,FALSE,0,brav(e|er|en|em) einheimische(n|r)?,good locals?
3213,,brav(e|er|en|em) erwerbstÃ¤tige(n|r)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemerwerbstÃ¤tigenr,TRUE,FALSE,0,brav(e|er|en|em) erwerbstÃ¤tige(n|r)?,well-behaved employed person?
3214,,brav(e|er|en|em) hackler(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemhacklersninnenin,TRUE,FALSE,0,brav(e|er|en|em) hackler(s|n|innen|in)?,good hackler?
3215,,brav(e|er|en|em) konsument(en|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemkonsumenteninnenin,TRUE,FALSE,0,brav(e|er|en|em) konsument(en|innen|in)?,good consumer?
3216,,brav(e|er|en|em) lohnarbeiter(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemlohnarbeitersninnenin,TRUE,FALSE,0,brav(e|er|en|em) lohnarbeiter(s|n|innen|in)?,good wage earner(s)?
3217,,brav(e|er|en|em) malocher(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemmalochersninnenin,TRUE,FALSE,0,brav(e|er|en|em) malocher(s|n|innen|in)?,good (e|he|en|em) malocher(s|n|inner)?
3218,,brav(e|er|en|em) mitbÃ¼rger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemmitbÃ¼rgersninnenin,TRUE,FALSE,0,brav(e|er|en|em) mitbÃ¼rger(s|n|innen|in)?,good fellow citizens?
3219,,brav(e|er|en|em) sterbliche(n|r)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemsterblichenr,TRUE,FALSE,0,brav(e|er|en|em) sterbliche(n|r)?,good mortal?
3220,,brav(e|er|en|em) steuerpflichtige(n|r)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemsteuerpflichtigenr,TRUE,FALSE,0,brav(e|er|en|em) steuerpflichtige(n|r)?,well-behaved taxpayer?
3221,,brav(e|er|en|em) stimmbÃ¼rger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemstimmbÃ¼rgersninnenin,TRUE,FALSE,0,brav(e|er|en|em) stimmbÃ¼rger(s|n|innen|in)?,good voters?
3222,,brav(e|er|en|em) urnengÃ¤nger(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemurnengÃ¤ngersninnenin,TRUE,FALSE,0,brav(e|er|en|em) urnengÃ¤nger(s|n|innen|in)?,good voter(s)?
3223,,brav(e|er|en|em) verbraucher(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemverbrauchersninnenin,TRUE,FALSE,0,brav(e|er|en|em) verbraucher(s|n|innen|in)?,good consumer(s)?
3224,,brav(e|er|en|em) wahlberechtigte(n|r)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemwahlberechtigtenr,TRUE,FALSE,0,brav(e|er|en|em) wahlberechtigte(n|r)?,good voters?
3225,,brav(e|er|en|em) wÃ¤hler(s|n|innen|in)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemwÃ¤hlersninnenin,TRUE,FALSE,0,brav(e|er|en|em) wÃ¤hler(s|n|innen|in)?,good voters?
3226,,brav(e|er|en|em) werktÃ¤tige(n|r)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenemwerktÃ¤tigenr,TRUE,FALSE,0,brav(e|er|en|em) werktÃ¤tige(n|r)?,good worker?
3227,,brav(e|er|en) frau(en)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenfrauen,TRUE,FALSE,0,brav(e|er|en) frau(en)?,good woman(s)?
3228,,brav(e|er|en) (frauen und mÃ¤nner(n)?|mÃ¤nner(n?) und frauen),ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenfrauenundmÃ¤nnernmÃ¤nnernundfrauen,TRUE,FALSE,0,brav(e|er|en) (frauen und mÃ¤nner(n)?|mÃ¤nner(n?) und frauen),brave (women and men?|men and women)
3229,,brav(e|er|en) landsfrau(en)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenlandsfrauen,TRUE,FALSE,0,brav(e|er|en) landsfrau(en)?,good countrywoman(s)?
3230,,brav(e|er|en) landsleute(n)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenlandsleuten,TRUE,FALSE,0,brav(e|er|en) landsleute(n)?,good compatriots?
3231,,brav(e|er|en) leute(n)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenleuten,TRUE,FALSE,0,brav(e|er|en) leute(n)?,good people?
3232,,brav(e|er|en) masse(n)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenmassen,TRUE,FALSE,0,brav(e|er|en) masse(n)?,well-behaved masses?
3233,,brav(e|er|en) mehrheit,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenmehrheit,TRUE,FALSE,0,brav(e|er|en) mehrheit,well-behaved majority
3234,,brav(e|er|en) wÃ¤hlerschaft,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveerenwÃ¤hlerschaft,TRUE,FALSE,0,brav(e|er|en) wÃ¤hlerschaft,well-behaved electorate
3235,,brav(e|er|es|en|em) landsm(a|Ã¤)nn(er|s|es|e|ern)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveeresenemlandsmaÃ¤nnerseseern,TRUE,FALSE,0,brav(e|er|es|en|em) landsm(a|Ã¤)nn(er|s|es|e|ern)?,good countryman(s)?
3236,,brav(e|er|es|en|em) m(a|Ã¤)nn(er|s|es|e|ern)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveeresenemmaÃ¤nnerseseern,TRUE,FALSE,0,brav(e|er|es|en|em) m(a|Ã¤)nn(er|s|es|e|ern)?,good man?
3237,,brav(e|er|es|en|em) mensch(en)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveeresenemmenschen,TRUE,FALSE,0,brav(e|er|es|en|em) mensch(en)?,good person(s)?
3238,,brav(e|es|en|em) volk(s|es|e)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveesenemvolksese,TRUE,FALSE,0,brav(e|es|en|em) volk(s|es|e)?,good(e|es|en|em) people(s|es|e)?
3239,,brav(e|es|en|em) wahlvolk(s|es|e)?,ehrliche menschen,advocative,people-centrism,regex,never appeared term,braveesenemwahlvolksese,TRUE,FALSE,0,brav(e|es|en|em) wahlvolk(s|es|e)?,good electorate?
3240,,braven vielen,ehrliche menschen,advocative,people-centrism,none,never appeared term,bravenvielen,TRUE,FALSE,0,braven vielen,brave many
3241,,brav(.*) hackler(.*),zzz_none,advocative,people-centrism,regex,never appeared term,bravhackler,TRUE,FALSE,0,brav(.*) hackler(.*),brave(.*) hard worker(.*)
3242,,brav(.*) sterbliche(.*),zzz_none,advocative,people-centrism,regex,never appeared term,bravsterbliche,TRUE,FALSE,0,brav(.*) sterbliche(.*),brave(.*) mortal(.*)
3243,,br(i|e)chen ([^[:space:]]*)medien,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechen[^[:space:]]medien,TRUE,FALSE,0,br(i|e)chen ([^[:space:]]*)medien,br(i|e)chen ([^[:space:]]*)medien
3244,,br(i|e)chen (.* )?fachleute,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechenfachleute,TRUE,FALSE,0,br(i|e)chen (.* )?fachleute,br(i|e)chen (.* )?experts
3245,,br(i|e)chen (.* )?multis,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechenmultis,TRUE,FALSE,0,br(i|e)chen (.* )?multis,br(i|e)chen (.* )?multis
3246,,br(i|e)chen (.* )?parteien,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechenparteien,TRUE,FALSE,0,br(i|e)chen (.* )?parteien,br(i|e)chen (.* )?parties
3247,,br(i|e)ch(t|en) ([^[:space:]]*)elite(n)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechten[^[:space:]]eliten,TRUE,FALSE,0,br(i|e)ch(t|en) ([^[:space:]]*)elite(n)?,br(i|e)ch(t|en) ([^[:space:]]*)elite(n)?
3248,,br(i|e)ch(t|en) ([^[:space:]]*)establishment,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechten[^[:space:]]establishment,TRUE,FALSE,0,br(i|e)ch(t|en) ([^[:space:]]*)establishment,br(i|e)ch(t|en) ([^[:space:]]*)establishment
3249,,br(i|e)ch(t|en) ([^[:space:]]*)kapitalist(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechten[^[:space:]]kapitalistenininnen,TRUE,FALSE,0,br(i|e)ch(t|en) ([^[:space:]]*)kapitalist(en|in|innen)?,br(i|e)ch(t|en) ([^[:space:]]*)capitalist(en|in|inside)?
3250,,br(i|e)ch(t|en) ([^[:space:]]*)konzern(e)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechten[^[:space:]]konzerne,TRUE,FALSE,0,br(i|e)ch(t|en) ([^[:space:]]*)konzern(e)?,br(i|e)ch(t|en) ([^[:space:]]*)corporation(s)?
3251,,br(i|e)ch(t|en) ([^[:space:]]*)partei(en)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechten[^[:space:]]parteien,TRUE,FALSE,0,br(i|e)ch(t|en) ([^[:space:]]*)partei(en)?,br(i|e)ch(t|en) ([^[:space:]]*)party(s)?
3252,,br(i|e)ch(t|en) (.* )?bÃ¼rokrat(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenbÃ¼rokratenininnen,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?bÃ¼rokrat(en|in|innen)?,br(i|e)ch(t|en) (.* )?bureaucrat(s)?
3253,,br(i|e)ch(t|en) (.* )?bÃ¼rokratie,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenbÃ¼rokratie,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?bÃ¼rokratie,br(i|e)ch(t|en) (.* )?bureaucracy
3254,,br(i|e)ch(t|en) (.* )?expert(e|en|in|innen),unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenexperteenininnen,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?expert(e|en|in|innen),br(i|e)ch(t|en) (.* )?expert(e|en|inside)
3255,,br(i|e)ch(t|en) (.* )?fachfrau(en)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenfachfrauen,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?fachfrau(en)?,br(i|e)ch(t|en) (.* )?expert(s)?
3256,,br(i|e)ch(t|en) (.* )?fachm(a|Ã¤)nn(er)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenfachmaÃ¤nner,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?fachm(a|Ã¤)nn(er)?,br(i|e)ch(t|en) (.* )?fachm(a|Ã¤)nn(er)?
3257,,br(i|e)ch(t|en) (.* )?forscher(innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenforscherinnenin,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?forscher(innen|in)?,br(i|e)ch(t|en) (.* )?researcher(s)?
3258,,br(i|e)ch(t|en) (.* )?forschung,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenforschung,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?forschung,br(i|e)ch(t|en) (.* )?research
3259,,br(i|e)ch(t|en) (.* )?gelehrte(n|r)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtengelehrtenr,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?gelehrte(n|r)?,br(i|e)ch(t|en) (.* )?scholar(s)?
3260,,br(i|e)ch(t|en) (.* )?gro(ÃŸ|ss)unternehme(r|rin|rinnen|n)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtengroÃŸssunternehmerrinrinnenn,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?gro(ÃŸ|ss)unternehme(r|rin|rinnen|n)?,br(i|e)ch(t|en) (.* )?large companies?
3261,,br(i|e)ch(t|en) (.* )?herrschende(n|r)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenherrschendenr,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?herrschende(n|r)?,br(i|e)ch(t|en) (.* )?ruling(s)?
3262,,br(i|e)ch(t|en) (.* )?intellektuelle(n|r)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenintellektuellenr,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?intellektuelle(n|r)?,br(i|e)ch(t|en) (.* )?intellectual(n|r)?
3263,,br(i|e)ch(t|en) (.* )?journalismus,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenjournalismus,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?journalismus,br(i|e)ch(t|en) (.* )?journalism
3264,,br(i|e)ch(t|en) (.* )?journalist(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenjournalistenininnen,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?journalist(en|in|innen)?,br(i|e)ch(t|en) (.* )?journalist(s)?
3265,,br(i|e)ch(t|en) (.* )?konglomerat(e)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenkonglomerate,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?konglomerat(e)?,br(i|e)ch(t|en) (.* )?conglomerate(s)?
3266,,br(i|e)ch(t|en) (.* )?leistungstrÃ¤ger(innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenleistungstrÃ¤gerinnenin,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?leistungstrÃ¤ger(innen|in)?,br(i|e)ch(t|en) (.* )?high-performing personnel?
3267,,br(i|e)ch(t|en) (.* )?medienvertreter(innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenmedienvertreterinnenin,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?medienvertreter(innen|in)?,br(i|e)ch(t|en) (.* )?media representative(s)?
3268,,br(i|e)ch(t|en) (.* )?regent(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenregentenininnen,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?regent(en|in|innen)?,br(i|e)ch(t|en) (.* )?regent(en|in|inner)?
3269,,br(i|e)ch(t|en) (.* )?regierende(n|r)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenregierendenr,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?regierende(n|r)?,br(i|e)ch(t|en) (.* )?governing(s)?
3270,,br(i|e)ch(t|en) (.* )?souverÃ¤n,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtensouverÃ¤n,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?souverÃ¤n,br(i|e)ch(t|en) (.* )?sovereign
3271,,br(i|e)ch(t|en) (.* )?spezialist(en|in|innen)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenspezialistenininnen,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?spezialist(en|in|innen)?,br(i|e)ch(t|en) (.* )?specialist(s)?
3272,,br(i|e)ch(t|en) (.* )?wissenschaft(en)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenwissenschaften,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?wissenschaft(en)?,br(i|e)ch(t|en) (.* )?science(s)?
3273,,br(i|e)ch(t|en) (.* )?wissenschaft(l)?er(innen|in)?,unaufrichtige eliten,conflictive,anti-elitism,regex,never appeared term,briechtenwissenschaftlerinnenin,TRUE,FALSE,0,br(i|e)ch(t|en) (.* )?wissenschaft(l)?er(innen|in)?,br(i|e)ch(t|en) (.* )?scientist(s)?
3274,,bÃ¼ezer(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),menschen reicht es,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinnenindienasedieschnauzesattgenugdickehabenhat,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (.* )?(die nase|die schnauze|satt|genug|dicke)( .*)? (haben|hat),worker(s)? (.* )?(the nose|the snout|fed up|enough|thick)( .*)? (have|has)
3275,,bÃ¼ezer(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),menschen reicht es,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninhabenhatdienasedieschnauzesattgenugdicke,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (haben|hat) (.* )?(die nase|die schnauze|satt|genug|dicke),worker(s)? (have|has) (.* )?(the nose|the snout|fed up|enough|thick)
3276,,bÃ¼ezer(innen|in)? (ist|sind|wird|werden|war|waren) (.* )?(leid|Ã¼berdrÃ¼ssig|mÃ¼de|mit (ihrer|seiner) geduld am ende),menschen reicht es,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninistsindwirdwerdenwarwarenleidÃ¼berdrÃ¼ssigmÃ¼demitihrerseinergeduldamende,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (ist|sind|wird|werden|war|waren) (.* )?(leid|Ã¼berdrÃ¼ssig|mÃ¼de|mit (ihrer|seiner) geduld am ende),worker(s)? (is|are|will|will be|was|were) (.* )?(suffering|sick|tired|with (her|his) patience at the end)
3277,,bÃ¼ezer(innen|in)? (lassen|lÃ¤sst) sich (.* )nicht ((lÃ¤nger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten),menschen wehren sich,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninlassenlÃ¤sstsichnichtlÃ¤ngerweitermehrgefallenaufsichsitzenbieten,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (lassen|lÃ¤sst) sich (.* )nicht ((lÃ¤nger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten),bÃ¼ezer(innen|in)? (cannot be allowed to be) ((longer|further|more) )?(please|sit|offer)
3278,,bÃ¼ezer(innen|in)? (.* )?(leid|Ã¼berdrÃ¼ssig|mÃ¼de|mit (ihrer|seiner) geduld am ende) (ist|sein|wird|werden|war|waren|sein),menschen reicht es,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninleidÃ¼berdrÃ¼ssigmÃ¼demitihrerseinergeduldamendeistseinwirdwerdenwarwarensein,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (.* )?(leid|Ã¼berdrÃ¼ssig|mÃ¼de|mit (ihrer|seiner) geduld am ende) (ist|sein|wird|werden|war|waren|sein),worker(s)? (.* )?(suffering|sick|tired|with (her|his) patience at the end) (is|be|will|will be|was|were|be)
3279,,bÃ¼ezer(innen|in)? (.* )?nicht (.* )?(lÃ¤nger|mehr) (hÃ¶ren|sehen) (will|kann|mÃ¶chte(n)?|wollen|kÃ¶nnen),menschen reicht es,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninnichtlÃ¤ngermehrhÃ¶rensehenwillkannmÃ¶chtenwollenkÃ¶nnen,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (.* )?nicht (.* )?(lÃ¤nger|mehr) (hÃ¶ren|sehen) (will|kann|mÃ¶chte(n)?|wollen|kÃ¶nnen),worker(s)? (.* )?not (.* )?(longer|more) (hear|see) (want|can|would like?|want to|be able to)
3280,,bÃ¼ezer(innen|in)? (.* )?nicht ((lÃ¤nger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten) (lassen|lÃ¤sst),menschen wehren sich,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninnichtlÃ¤ngerweitermehrgefallenaufsichsitzenbietenlassenlÃ¤sst,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (.* )?nicht ((lÃ¤nger|weiter|mehr) )?(gefallen|auf sich sitzen|bieten) (lassen|lÃ¤sst),worker(s)? (.* )?not ((longer|further|more) )?(let|sit)
3281,,bÃ¼ezer(innen|in)? setz(t|en) sich (.* )?zur wehr,menschen wehren sich,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninsetztensichzurwehr,TRUE,FALSE,0,bÃ¼ezer(innen|in)? setz(t|en) sich (.* )?zur wehr,workers? defend themselves (.* )?
3282,,bÃ¼ezer(innen|in)? sich (.* )?(wehr|widersetz|verteidig)(t|en),menschen wehren sich,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninsichwehrwidersetzverteidigten,TRUE,FALSE,0,bÃ¼ezer(innen|in)? sich (.* )?(wehr|widersetz|verteidig)(t|en),workers? themselves (.* )?(defend|resist|defend)(t|en)
3283,,bÃ¼ezer(innen|in)? (.* )?versteh(t|en),common sense,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninverstehten,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (.* )?versteh(t|en),worker(s)? (.* )?understand(s)
3284,,bÃ¼ezer(innen|in)? (wehr|widersetz|verteidig)(t|en) sich,menschen wehren sich,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninwehrwidersetzverteidigtensich,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (wehr|widersetz|verteidig)(t|en) sich,workers? (defend|resist|defend)(t|en) themselves
3285,,bÃ¼ezer(innen|in)? (.* )?wei(ÃŸ|ss),common sense,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninweiÃŸss,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (.* )?wei(ÃŸ|ss),worker(s)? (.* )? white(ss)
3286,,bÃ¼ezer(innen|in)? (.* )?(will|(ein)?fordert|mÃ¶chte|mag|verlangt|beansprucht|wÃ¼nscht),volkswille,advocative,sovereignty,regex,never appeared term,bÃ¼ezerinneninwilleinfordertmÃ¶chtemagverlangtbeanspruchtwÃ¼nscht,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (.* )?(will|(ein)?fordert|mÃ¶chte|mag|verlangt|beansprucht|wÃ¼nscht),worker(s)? (.* )?(wants|requires|wants|likes|requires|desires)
3287,,bÃ¼ezer(innen|in)? (will|kann|mÃ¶chte(n)?|wollen|kÃ¶nnen) (.* )?nicht (.* )?(lÃ¤nger|mehr) (hÃ¶ren|sehen),menschen reicht es,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninwillkannmÃ¶chtenwollenkÃ¶nnennichtlÃ¤ngermehrhÃ¶rensehen,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (will|kann|mÃ¶chte(n)?|wollen|kÃ¶nnen) (.* )?nicht (.* )?(lÃ¤nger|mehr) (hÃ¶ren|sehen),worker(s)? (will|can|would like?|want|can) (.* )?not (.* )?(longer|more) (hear|see)
3288,,bÃ¼ezer(innen|in)? (.* )?wissen,common sense,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninwissen,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (.* )?wissen,worker(s)? (.* )?knowledge
3289,,bÃ¼ezer(innen|in)? (.* )?(wollen|(ein)?fordern|mÃ¶chten|mÃ¶gen|verlangen|beanspruchen|wÃ¼nschen),volkswille,advocative,sovereignty,regex,never appeared term,bÃ¼ezerinneninwolleneinfordernmÃ¶chtenmÃ¶genverlangenbeanspruchenwÃ¼nschen,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (.* )?(wollen|(ein)?fordern|mÃ¶chten|mÃ¶gen|verlangen|beanspruchen|wÃ¼nschen),worker(s)? (.* )?(want|(a)?demand|would like|like|require|claim|desire)
3290,,bÃ¼ezer(innen|in)? (.* )?zur wehr setz(t|en),menschen wehren sich,advocative,people-centrism,regex,never appeared term,bÃ¼ezerinneninzurwehrsetzten,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (.* )?zur wehr setz(t|en),workers? (.* )?to defend themselves
3291,,bÃ¼ezer(innen|in)? (.* )?zwangsbeglÃ¼ck(t|en),den menschen aufzwingen,conflictive,sovereignty,regex,never appeared term,bÃ¼ezerinneninzwangsbeglÃ¼ckten,TRUE,FALSE,0,bÃ¼ezer(innen|in)? (.* )?zwangsbeglÃ¼ck(t|en),worker(s)? (.* )?forced happiness
3292,,bÃ¼ezer(n|innen|in)? (.* )?aufbÃ¼rde(t|n),den menschen aufzwingen,conflictive,sovereignty,regex,never appeared term,bÃ¼ezerninneninaufbÃ¼rdetn,TRUE,FALSE,0,bÃ¼ezer(n|innen|in)? (.* )?aufbÃ¼rde(t|n),worker(s|in)? (.* )?burden(s)
